number,state,value,brevity,format,reason,style,cfg_brevity,cfg_format,cfg_reasoning,cfg_style,metric_energy_J_per_ex,metric_energy_total_J,metric_latency_s,metric_rougeL,metric_tokens_total,metric_tpj
0,1,-0.6595323139801713,word50,bullets,bounded,role,word50,bullets,bounded,role,257.0254698081598,1542.1528188489588,2.248130002999839,0.3846153846153846,768,0.49800512025340293
1,1,-0.7162100333828835,3sent,json,none,concise,3sent,json,none,concise,263.6490401156811,1581.8942406940866,2.150357789500125,0.3846153846153846,761,0.4810688226958185
2,1,-0.7269673947648538,none,free,bounded,concise,none,free,bounded,concise,265.5885457763754,1593.5312746582522,2.2324781056667384,0.3846153846153846,768,0.4819484952780138
3,1,-0.7084620103845445,none,free,bounded,stepwise,none,free,bounded,stepwise,263.22543258034233,1579.3525954820539,2.2010111243334145,0.3846153846153846,768,0.48627520048212486
4,1,-0.7190000447779517,1sent,bullets,none,role,1sent,bullets,none,role,264.5699153904166,1587.4194923424998,2.1051674713332886,0.3846153846153846,768,0.48380406294916356
5,1,-0.8077692610662132,word50,free,brief,role,word50,free,brief,role,276.0198903231595,1656.119341938957,2.174816400166719,0.3846153846153846,768,0.4637346962573593
6,1,-0.9021460146063331,word50,bullets,bounded,role,word50,bullets,bounded,role,288.4251254728354,1730.5507528370126,2.2670961366666234,0.3846153846153846,768,0.44378935361529503
7,1,-0.8428504451356136,word50,json,none,role,word50,json,none,role,280.6040901004799,1683.6245406028793,2.1922344278333035,0.3846153846153846,768,0.45615871085188114
8,1,-0.8565668834647311,word50,json,none,role,word50,json,none,role,282.4052673896216,1694.4316043377296,2.202263175500169,0.3846153846153846,768,0.45324933625761404
9,1,-0.8701821855938254,1sent,bullets,bounded,concise,1sent,bullets,bounded,concise,284.1979724595094,1705.1878347570564,2.199589342000005,0.3846153846153846,768,0.45039026454784636
10,1,-0.9064416881102048,3sent,bullets,brief,stepwise,3sent,bullets,brief,stepwise,288.68866697882595,1732.1320018729557,2.3480901418333815,0.3846153846153846,764,0.44107492914736646
11,1,-0.766900622897835,none,free,bounded,stepwise,none,free,bounded,stepwise,270.72119360869436,1624.327161652166,2.2057377715001016,0.3846153846153846,768,0.47281115413894664
12,1,-0.7734083366040496,none,free,bounded,stepwise,none,free,bounded,stepwise,271.56186610196585,1629.371196611795,2.2073933183335157,0.3846153846153846,768,0.47134747539236105
13,1,-0.8051018575372169,none,bullets,bounded,stepwise,none,bullets,bounded,stepwise,275.67267131218375,1654.0360278731025,2.1993420453332724,0.3846153846153846,768,0.46431878572050117
14,1,-0.8901238676596034,word50,free,bounded,stepwise,word50,free,bounded,stepwise,285.98428161031103,1715.9056896618663,2.314802174833403,0.3846153846153846,757,0.44116643738687833
15,1,-0.8548003671657962,none,bullets,bounded,role,none,bullets,bounded,role,282.1730229907588,1693.0381379445528,2.224857415499931,0.3846153846153846,768,0.45362238616337186
16,1,-0.7898248560179926,3sent,free,brief,stepwise,3sent,free,brief,stepwise,273.6877499848482,1642.1264999090893,2.1721657608333467,0.3846153846153846,768,0.4676862592757121
17,1,-0.9017799252224474,1sent,bullets,bounded,role,1sent,bullets,bounded,role,288.3765655684817,1730.25939341089,2.2006045618333396,0.3846153846153846,768,0.44386408357305807
18,1,-0.7959556370044341,word50,free,bounded,stepwise,word50,free,bounded,stepwise,273.61385742800024,1641.6831445680016,2.1239444616666483,0.3846153846153846,757,0.461112122948183
19,1,-0.7750343995338909,none,json,brief,concise,none,json,brief,concise,270.6583065540704,1623.9498393244223,2.0889838815000985,0.3846153846153846,754,0.4643000551751468
